http://archives.lesoir.be/	ArchivesLeSoir
http://onlinelibrary.wiley.com/	Wiley
http://rue89.nouvelobs.com/	Rue89
http://www.chroniquesautomatiques.com/	LesChroniquesAutomatiques
http://www.erudit.org/	Erudit
http://www.footofeminin.fr/	FootOFeminin
http://www.formula1.com/	Formula1
http://www.jstor.org/	JSTOR
http://www.lalibre.be/	LaLibreBelgique
http://www.liberation.fr/	Liberation
http://www.lefigaro.fr/	LeFigaro
http://www.lemonde.fr/	LeMonde
http://www.lesoir.be/	LeSoir
http://www.nytimes.com/	NewYorkTimes
http://www.persee.fr/	Persee
http://www.tandfonline.com	TaylorAndFrancis
http://www.worldcat.org/	WorldCat
